Station_ID,City,Date,Vehicle_Type,Charging_Start_Time,Charging_End_Time,Energy_Consumed_kWh,Cost_INR,Payment_Method,Session_Duration_Min,Day,Month,Year,Day_of_Week,Weekend,Hour,Time_Slot,Revenue_Category
ST012,Kolkata,2025-10-15,Bus,1900-01-01 14:05:00,1900-01-01 15:44:00,69.9,699.0,Cash,99.0,15,October,2025,Wednesday,False,14,Afternoon,High
ST013,Hyderabad,2025-10-15,Car,1900-01-01 07:37:00,1900-01-01 10:10:00,85.8,858.0,Card,153.0,15,October,2025,Wednesday,False,7,Morning,High
ST014,Mumbai,2025-10-15,Bike,1900-01-01 07:57:00,1900-01-01 09:27:00,77.4,774.0,UPI,90.0,15,October,2025,Wednesday,False,7,Morning,High
ST015,Pune,2025-10-15,Bus,1900-01-01 06:09:00,1900-01-01 07:20:00,58.3,583.0,UPI,71.0,15,October,2025,Wednesday,False,6,Morning,Medium
ST016,Bhopal,2025-10-15,Bus,1900-01-01 16:05:00,1900-01-01 18:35:00,81.1,811.0,UPI,150.0,15,October,2025,Wednesday,False,16,Afternoon,High
ST017,Jaipur,2025-10-15,Car,1900-01-01 12:45:00,1900-01-01 15:29:00,55.9,559.0,UPI,164.0,15,October,2025,Wednesday,False,12,Afternoon,Medium
ST018,Chennai,2025-10-15,Car,1900-01-01 11:49:00,1900-01-01 14:21:00,16.9,169.0,UPI,152.0,15,October,2025,Wednesday,False,11,Morning,Low
ST019,Chennai,2025-10-15,Bus,1900-01-01 08:15:00,1900-01-01 10:58:00,40.8,408.0,Cash,163.0,15,October,2025,Wednesday,False,8,Morning,Medium
ST020,Kolkata,2025-10-15,Car,1900-01-01 12:56:00,1900-01-01 13:26:00,67.9,679.0,Cash,30.0,15,October,2025,Wednesday,False,12,Afternoon,Medium
ST021,Kolkata,2025-10-15,Bus,1900-01-01 17:25:00,1900-01-01 19:46:00,32.4,324.0,Cash,141.0,15,October,2025,Wednesday,False,17,Evening,Low
ST022,Indore,2025-10-15,Bus,1900-01-01 19:49:00,1900-01-01 21:00:00,27.5,275.0,UPI,71.0,15,October,2025,Wednesday,False,19,Evening,Low
ST023,Mumbai,2025-10-15,Truck,1900-01-01 15:43:00,1900-01-01 17:25:00,80.8,808.0,Card,102.0,15,October,2025,Wednesday,False,15,Afternoon,High
ST024,Jaipur,2025-10-15,Bus,1900-01-01 10:10:00,1900-01-01 11:55:00,49.5,495.0,Card,105.0,15,October,2025,Wednesday,False,10,Morning,Medium
ST025,Pune,2025-10-15,Bus,1900-01-01 08:33:00,1900-01-01 10:45:00,98.4,984.0,Card,132.0,15,October,2025,Wednesday,False,8,Morning,High
ST026,Chennai,2025-10-15,Car,1900-01-01 12:41:00,1900-01-01 13:35:00,99.8,998.0,Card,54.0,15,October,2025,Wednesday,False,12,Afternoon,High
ST027,Ahmedabad,2025-10-15,Car,1900-01-01 06:10:00,1900-01-01 08:27:00,76.9,769.0,Cash,137.0,15,October,2025,Wednesday,False,6,Morning,High
ST028,Hyderabad,2025-10-15,Bike,1900-01-01 19:17:00,1900-01-01 22:11:00,89.0,890.0,UPI,174.0,15,October,2025,Wednesday,False,19,Evening,High
ST029,Bhopal,2025-10-15,Bike,1900-01-01 19:49:00,1900-01-01 20:42:00,86.4,864.0,Cash,53.0,15,October,2025,Wednesday,False,19,Evening,High
ST030,Delhi,2025-10-15,Bike,1900-01-01 16:05:00,1900-01-01 16:56:00,64.9,649.0,UPI,51.0,15,October,2025,Wednesday,False,16,Afternoon,Medium
ST031,Delhi,2025-10-15,Truck,1900-01-01 07:50:00,1900-01-01 10:24:00,87.3,873.0,Cash,154.0,15,October,2025,Wednesday,False,7,Morning,High
ST032,Ahmedabad,2025-10-15,Bike,1900-01-01 11:43:00,1900-01-01 13:27:00,43.3,433.0,Card,104.0,15,October,2025,Wednesday,False,11,Morning,Medium
ST033,Ahmedabad,2025-10-15,Bike,1900-01-01 08:04:00,1900-01-01 10:35:00,23.8,238.0,Cash,151.0,15,October,2025,Wednesday,False,8,Morning,Low
ST034,Kolkata,2025-10-15,Bike,1900-01-01 18:40:00,1900-01-01 21:34:00,21.9,219.0,UPI,174.0,15,October,2025,Wednesday,False,18,Evening,Low
ST035,Kolkata,2025-10-15,Bus,1900-01-01 07:17:00,1900-01-01 09:56:00,47.9,479.0,Card,159.0,15,October,2025,Wednesday,False,7,Morning,Medium
ST036,Jaipur,2025-10-15,Car,1900-01-01 20:09:00,1900-01-01 22:35:00,56.9,569.0,Cash,146.0,15,October,2025,Wednesday,False,20,Evening,Medium
ST037,Chennai,2025-10-15,Bike,1900-01-01 08:14:00,1900-01-01 09:17:00,50.9,509.0,Card,63.0,15,October,2025,Wednesday,False,8,Morning,Medium
ST038,Mumbai,2025-10-15,Bike,1900-01-01 12:02:00,1900-01-01 13:46:00,46.3,463.0,UPI,104.0,15,October,2025,Wednesday,False,12,Afternoon,Medium
ST039,Mumbai,2025-10-15,Bike,1900-01-01 08:14:00,1900-01-01 08:49:00,14.9,149.0,Card,35.0,15,October,2025,Wednesday,False,8,Morning,Low
ST040,Mumbai,2025-10-15,Bus,1900-01-01 07:11:00,1900-01-01 08:41:00,24.4,244.0,UPI,90.0,15,October,2025,Wednesday,False,7,Morning,Low
ST041,Indore,2025-10-15,Bus,1900-01-01 08:10:00,1900-01-01 10:50:00,45.7,457.0,Cash,160.0,15,October,2025,Wednesday,False,8,Morning,Medium
ST042,Hyderabad,2025-10-15,Car,1900-01-01 15:33:00,1900-01-01 18:04:00,14.0,140.0,Card,151.0,15,October,2025,Wednesday,False,15,Afternoon,Low
ST043,Jaipur,2025-10-15,Bike,1900-01-01 09:27:00,1900-01-01 10:08:00,93.4,934.0,Card,41.0,15,October,2025,Wednesday,False,9,Morning,High
ST044,Jaipur,2025-10-15,Truck,1900-01-01 07:04:00,1900-01-01 07:41:00,18.0,180.0,Card,37.0,15,October,2025,Wednesday,False,7,Morning,Low
ST045,Ahmedabad,2025-10-15,Car,1900-01-01 19:35:00,1900-01-01 22:01:00,26.0,260.0,Card,146.0,15,October,2025,Wednesday,False,19,Evening,Low
ST046,Delhi,2025-10-15,Bus,1900-01-01 14:43:00,1900-01-01 15:38:00,23.0,230.0,Card,55.0,15,October,2025,Wednesday,False,14,Afternoon,Low
ST047,Pune,2025-10-15,Truck,1900-01-01 14:14:00,1900-01-01 16:08:00,92.4,924.0,Card,114.0,15,October,2025,Wednesday,False,14,Afternoon,High
ST048,Indore,2025-10-15,Truck,1900-01-01 17:05:00,1900-01-01 18:59:00,55.3,553.0,Cash,114.0,15,October,2025,Wednesday,False,17,Evening,Medium
ST049,Bhopal,2025-10-15,Truck,1900-01-01 19:56:00,1900-01-01 21:24:00,88.4,884.0,Cash,88.0,15,October,2025,Wednesday,False,19,Evening,High
ST050,Kolkata,2025-10-15,Truck,1900-01-01 18:52:00,1900-01-01 19:23:00,76.2,762.0,UPI,31.0,15,October,2025,Wednesday,False,18,Evening,High
ST051,Kolkata,2025-10-15,Bus,1900-01-01 18:46:00,1900-01-01 20:07:00,12.0,120.0,Card,81.0,15,October,2025,Wednesday,False,18,Evening,Low
ST052,Hyderabad,2025-10-15,Truck,1900-01-01 06:44:00,1900-01-01 08:49:00,27.3,273.0,Cash,125.0,15,October,2025,Wednesday,False,6,Morning,Low
ST053,Hyderabad,2025-10-15,Car,1900-01-01 14:45:00,1900-01-01 16:08:00,35.6,356.0,UPI,83.0,15,October,2025,Wednesday,False,14,Afternoon,Low
ST054,Jaipur,2025-10-15,Car,1900-01-01 15:07:00,1900-01-01 16:26:00,8.3,83.0,Card,79.0,15,October,2025,Wednesday,False,15,Afternoon,Low
ST055,Kolkata,2025-10-15,Truck,1900-01-01 13:10:00,1900-01-01 13:54:00,74.7,747.0,Cash,44.0,15,October,2025,Wednesday,False,13,Afternoon,High
ST056,Bhopal,2025-10-15,Car,1900-01-01 15:23:00,1900-01-01 17:51:00,29.0,290.0,UPI,148.0,15,October,2025,Wednesday,False,15,Afternoon,Low
ST057,Ahmedabad,2025-10-15,Car,1900-01-01 18:21:00,1900-01-01 18:57:00,77.4,774.0,Cash,36.0,15,October,2025,Wednesday,False,18,Evening,High
ST058,Pune,2025-10-15,Bus,1900-01-01 06:50:00,1900-01-01 09:45:00,86.4,864.0,UPI,175.0,15,October,2025,Wednesday,False,6,Morning,High
ST059,Bhopal,2025-10-15,Car,1900-01-01 15:58:00,1900-01-01 17:48:00,73.7,737.0,Card,110.0,15,October,2025,Wednesday,False,15,Afternoon,High
ST060,Indore,2025-10-15,Bus,1900-01-01 06:12:00,1900-01-01 06:54:00,71.5,715.0,Cash,42.0,15,October,2025,Wednesday,False,6,Morning,High
ST061,Pune,2025-10-15,Bike,1900-01-01 08:03:00,1900-01-01 10:11:00,34.1,341.0,Card,128.0,15,October,2025,Wednesday,False,8,Morning,Low
ST062,Hyderabad,2025-10-15,Car,1900-01-01 19:15:00,1900-01-01 21:10:00,83.5,835.0,Card,115.0,15,October,2025,Wednesday,False,19,Evening,High
ST063,Jaipur,2025-10-15,Car,1900-01-01 11:09:00,1900-01-01 13:49:00,70.4,704.0,Card,160.0,15,October,2025,Wednesday,False,11,Morning,High
ST064,Chennai,2025-10-15,Truck,1900-01-01 06:06:00,1900-01-01 07:28:00,17.1,171.0,UPI,82.0,15,October,2025,Wednesday,False,6,Morning,Low
ST065,Jaipur,2025-10-15,Bus,1900-01-01 20:23:00,1900-01-01 23:20:00,56.8,568.0,UPI,177.0,15,October,2025,Wednesday,False,20,Evening,Medium
ST066,Hyderabad,2025-10-15,Bus,1900-01-01 16:25:00,1900-01-01 19:03:00,88.4,884.0,Card,158.0,15,October,2025,Wednesday,False,16,Afternoon,High
ST067,Indore,2025-10-15,Car,1900-01-01 11:24:00,1900-01-01 13:14:00,40.9,409.0,Cash,110.0,15,October,2025,Wednesday,False,11,Morning,Medium
ST068,Bhopal,2025-10-15,Car,1900-01-01 13:07:00,1900-01-01 15:45:00,59.4,594.0,UPI,158.0,15,October,2025,Wednesday,False,13,Afternoon,Medium
ST069,Kolkata,2025-10-15,Truck,1900-01-01 06:00:00,1900-01-01 08:35:00,66.2,662.0,Cash,155.0,15,October,2025,Wednesday,False,6,Morning,Medium
ST070,Bhopal,2025-10-15,Bike,1900-01-01 16:32:00,1900-01-01 18:28:00,53.2,532.0,Cash,116.0,15,October,2025,Wednesday,False,16,Afternoon,Medium
ST071,Hyderabad,2025-10-15,Bike,1900-01-01 12:25:00,1900-01-01 14:24:00,73.5,735.0,Cash,119.0,15,October,2025,Wednesday,False,12,Afternoon,High
ST072,Ahmedabad,2025-10-15,Bus,1900-01-01 13:32:00,1900-01-01 14:52:00,50.5,505.0,Cash,80.0,15,October,2025,Wednesday,False,13,Afternoon,Medium
ST073,Delhi,2025-10-15,Car,1900-01-01 16:54:00,1900-01-01 18:22:00,42.5,425.0,Card,88.0,15,October,2025,Wednesday,False,16,Afternoon,Medium
ST074,Jaipur,2025-10-15,Bus,1900-01-01 11:26:00,1900-01-01 13:22:00,56.3,563.0,Cash,116.0,15,October,2025,Wednesday,False,11,Morning,Medium
ST075,Kolkata,2025-10-15,Bus,1900-01-01 20:46:00,1900-01-01 21:35:00,29.6,296.0,UPI,49.0,15,October,2025,Wednesday,False,20,Evening,Low
ST076,Ahmedabad,2025-10-15,Bike,1900-01-01 15:14:00,1900-01-01 17:54:00,64.5,645.0,UPI,160.0,15,October,2025,Wednesday,False,15,Afternoon,Medium
ST077,Mumbai,2025-10-15,Car,1900-01-01 16:32:00,1900-01-01 17:56:00,69.4,694.0,Card,84.0,15,October,2025,Wednesday,False,16,Afternoon,Medium
ST078,Kolkata,2025-10-15,Truck,1900-01-01 20:59:00,1900-01-01 22:24:00,13.5,135.0,UPI,85.0,15,October,2025,Wednesday,False,20,Evening,Low
ST079,Ahmedabad,2025-10-15,Car,1900-01-01 17:44:00,1900-01-01 19:41:00,43.8,438.0,Card,117.0,15,October,2025,Wednesday,False,17,Evening,Medium
ST080,Mumbai,2025-10-15,Truck,1900-01-01 11:40:00,1900-01-01 12:48:00,53.8,538.0,Cash,68.0,15,October,2025,Wednesday,False,11,Morning,Medium
ST081,Kolkata,2025-10-15,Car,1900-01-01 18:11:00,1900-01-01 19:23:00,78.0,780.0,Cash,72.0,15,October,2025,Wednesday,False,18,Evening,High
ST082,Ahmedabad,2025-10-15,Car,1900-01-01 07:40:00,1900-01-01 10:12:00,11.0,110.0,Card,152.0,15,October,2025,Wednesday,False,7,Morning,Low
ST083,Delhi,2025-10-15,Car,1900-01-01 20:26:00,1900-01-01 21:06:00,88.0,880.0,Card,40.0,15,October,2025,Wednesday,False,20,Evening,High
ST084,Delhi,2025-10-15,Bike,1900-01-01 08:58:00,1900-01-01 10:31:00,74.4,744.0,Cash,93.0,15,October,2025,Wednesday,False,8,Morning,High
ST085,Delhi,2025-10-15,Bus,1900-01-01 08:55:00,1900-01-01 11:25:00,68.5,685.0,UPI,150.0,15,October,2025,Wednesday,False,8,Morning,Medium
ST086,Hyderabad,2025-10-15,Car,1900-01-01 07:36:00,1900-01-01 09:25:00,15.5,155.0,Cash,109.0,15,October,2025,Wednesday,False,7,Morning,Low
ST087,Ahmedabad,2025-10-15,Car,1900-01-01 13:23:00,1900-01-01 14:22:00,94.0,940.0,Cash,59.0,15,October,2025,Wednesday,False,13,Afternoon,High
ST088,Chennai,2025-10-15,Truck,1900-01-01 13:34:00,1900-01-01 15:17:00,99.3,993.0,UPI,103.0,15,October,2025,Wednesday,False,13,Afternoon,High
ST089,Indore,2025-10-15,Truck,1900-01-01 18:15:00,1900-01-01 20:31:00,82.4,824.0,Card,136.0,15,October,2025,Wednesday,False,18,Evening,High
ST090,Jaipur,2025-10-15,Car,1900-01-01 10:30:00,1900-01-01 12:48:00,45.4,454.0,Card,138.0,15,October,2025,Wednesday,False,10,Morning,Medium
ST091,Ahmedabad,2025-10-15,Bus,1900-01-01 18:59:00,1900-01-01 21:19:00,48.7,487.0,UPI,140.0,15,October,2025,Wednesday,False,18,Evening,Medium
ST092,Hyderabad,2025-10-15,Bike,1900-01-01 13:13:00,1900-01-01 14:22:00,17.3,173.0,Cash,69.0,15,October,2025,Wednesday,False,13,Afternoon,Low
ST093,Jaipur,2025-10-15,Bus,1900-01-01 16:31:00,1900-01-01 19:15:00,93.4,934.0,Card,164.0,15,October,2025,Wednesday,False,16,Afternoon,High
ST094,Mumbai,2025-10-15,Bike,1900-01-01 12:39:00,1900-01-01 13:36:00,38.0,380.0,Cash,57.0,15,October,2025,Wednesday,False,12,Afternoon,Medium
ST095,Mumbai,2025-10-15,Truck,1900-01-01 07:35:00,1900-01-01 10:03:00,44.8,448.0,Card,148.0,15,October,2025,Wednesday,False,7,Morning,Medium
ST096,Chennai,2025-10-15,Truck,1900-01-01 13:33:00,1900-01-01 14:36:00,26.6,266.0,Card,63.0,15,October,2025,Wednesday,False,13,Afternoon,Low
ST097,Ahmedabad,2025-10-15,Bus,1900-01-01 18:45:00,1900-01-01 21:35:00,8.6,86.0,UPI,170.0,15,October,2025,Wednesday,False,18,Evening,Low
ST098,Bhopal,2025-10-15,Bike,1900-01-01 20:02:00,1900-01-01 21:40:00,38.9,389.0,UPI,98.0,15,October,2025,Wednesday,False,20,Evening,Medium
ST099,Bhopal,2025-10-15,Bike,1900-01-01 11:57:00,1900-01-01 14:08:00,68.9,689.0,UPI,131.0,15,October,2025,Wednesday,False,11,Morning,Medium
ST100,Pune,2025-10-15,Truck,1900-01-01 13:15:00,1900-01-01 14:17:00,10.1,101.0,Card,62.0,15,October,2025,Wednesday,False,13,Afternoon,Low
ST101,Pune,2025-10-15,Bus,1900-01-01 10:42:00,1900-01-01 12:40:00,46.4,464.0,UPI,118.0,15,October,2025,Wednesday,False,10,Morning,Medium
ST102,Hyderabad,2025-10-15,Truck,1900-01-01 19:32:00,1900-01-01 21:57:00,59.7,597.0,Cash,145.0,15,October,2025,Wednesday,False,19,Evening,Medium
ST103,Indore,2025-10-15,Bike,1900-01-01 10:06:00,1900-01-01 11:23:00,67.9,679.0,Cash,77.0,15,October,2025,Wednesday,False,10,Morning,Medium
ST104,Mumbai,2025-10-15,Truck,1900-01-01 19:38:00,1900-01-01 22:17:00,96.1,961.0,Cash,159.0,15,October,2025,Wednesday,False,19,Evening,High
ST105,Hyderabad,2025-10-15,Bike,1900-01-01 17:26:00,1900-01-01 19:23:00,3.2,32.0,UPI,117.0,15,October,2025,Wednesday,False,17,Evening,Low
ST106,Hyderabad,2025-10-15,Bus,1900-01-01 16:05:00,1900-01-01 16:37:00,83.5,835.0,Card,32.0,15,October,2025,Wednesday,False,16,Afternoon,High
ST107,Ahmedabad,2025-10-15,Truck,1900-01-01 15:57:00,1900-01-01 18:36:00,38.0,380.0,UPI,159.0,15,October,2025,Wednesday,False,15,Afternoon,Medium
ST108,Ahmedabad,2025-10-15,Bike,1900-01-01 10:47:00,1900-01-01 13:33:00,42.6,426.0,Cash,166.0,15,October,2025,Wednesday,False,10,Morning,Medium
ST109,Delhi,2025-10-15,Truck,1900-01-01 18:45:00,1900-01-01 21:01:00,74.3,743.0,Cash,136.0,15,October,2025,Wednesday,False,18,Evening,High
ST110,Pune,2025-10-15,Car,1900-01-01 14:19:00,1900-01-01 15:36:00,38.3,383.0,UPI,77.0,15,October,2025,Wednesday,False,14,Afternoon,Medium
ST111,Chennai,2025-10-15,Car,1900-01-01 14:10:00,1900-01-01 15:48:00,64.3,643.0,Cash,98.0,15,October,2025,Wednesday,False,14,Afternoon,Medium
ST112,Ahmedabad,2025-10-15,Car,1900-01-01 12:53:00,1900-01-01 13:24:00,21.0,210.0,UPI,31.0,15,October,2025,Wednesday,False,12,Afternoon,Low
ST113,Indore,2025-10-15,Truck,1900-01-01 15:29:00,1900-01-01 17:21:00,73.2,732.0,UPI,112.0,15,October,2025,Wednesday,False,15,Afternoon,High
ST114,Bhopal,2025-10-15,Bus,1900-01-01 18:52:00,1900-01-01 20:47:00,19.6,196.0,Cash,115.0,15,October,2025,Wednesday,False,18,Evening,Low
ST115,Bhopal,2025-10-15,Bike,1900-01-01 06:59:00,1900-01-01 09:09:00,24.1,241.0,Cash,130.0,15,October,2025,Wednesday,False,6,Morning,Low
ST116,Kolkata,2025-10-15,Truck,1900-01-01 11:35:00,1900-01-01 14:19:00,29.8,298.0,Card,164.0,15,October,2025,Wednesday,False,11,Morning,Low
ST117,Ahmedabad,2025-10-15,Bike,1900-01-01 07:25:00,1900-01-01 09:53:00,86.8,868.0,Card,148.0,15,October,2025,Wednesday,False,7,Morning,High
ST118,Bhopal,2025-10-15,Truck,1900-01-01 08:23:00,1900-01-01 10:11:00,26.8,268.0,Card,108.0,15,October,2025,Wednesday,False,8,Morning,Low
ST119,Delhi,2025-10-15,Bike,1900-01-01 11:04:00,1900-01-01 13:36:00,97.4,974.0,Card,152.0,15,October,2025,Wednesday,False,11,Morning,High
ST120,Ahmedabad,2025-10-15,Bus,1900-01-01 10:03:00,1900-01-01 12:35:00,44.6,446.0,Cash,152.0,15,October,2025,Wednesday,False,10,Morning,Medium
ST121,Delhi,2025-10-15,Truck,1900-01-01 06:45:00,1900-01-01 07:15:00,50.9,509.0,UPI,30.0,15,October,2025,Wednesday,False,6,Morning,Medium
ST122,Ahmedabad,2025-10-15,Car,1900-01-01 16:17:00,1900-01-01 18:30:00,73.3,733.0,Cash,133.0,15,October,2025,Wednesday,False,16,Afternoon,High
ST123,Pune,2025-10-15,Truck,1900-01-01 10:25:00,1900-01-01 13:11:00,67.0,670.0,Cash,166.0,15,October,2025,Wednesday,False,10,Morning,Medium
ST124,Jaipur,2025-10-15,Truck,1900-01-01 08:16:00,1900-01-01 09:26:00,59.8,598.0,Cash,70.0,15,October,2025,Wednesday,False,8,Morning,Medium
ST125,Delhi,2025-10-15,Truck,1900-01-01 18:06:00,1900-01-01 20:15:00,82.5,825.0,Card,129.0,15,October,2025,Wednesday,False,18,Evening,High
ST126,Jaipur,2025-10-15,Bike,1900-01-01 07:14:00,1900-01-01 08:38:00,91.9,919.0,Card,84.0,15,October,2025,Wednesday,False,7,Morning,High
ST127,Bhopal,2025-10-15,Truck,1900-01-01 08:11:00,1900-01-01 10:30:00,44.6,446.0,Card,139.0,15,October,2025,Wednesday,False,8,Morning,Medium
ST128,Delhi,2025-10-15,Truck,1900-01-01 11:47:00,1900-01-01 14:24:00,49.5,495.0,Cash,157.0,15,October,2025,Wednesday,False,11,Morning,Medium
ST129,Bhopal,2025-10-15,Bus,1900-01-01 08:01:00,1900-01-01 09:09:00,79.4,794.0,UPI,68.0,15,October,2025,Wednesday,False,8,Morning,High
ST130,Delhi,2025-10-15,Truck,1900-01-01 12:35:00,1900-01-01 14:26:00,43.3,433.0,Cash,111.0,15,October,2025,Wednesday,False,12,Afternoon,Medium
ST131,Mumbai,2025-10-15,Bus,1900-01-01 11:30:00,1900-01-01 12:49:00,43.8,438.0,UPI,79.0,15,October,2025,Wednesday,False,11,Morning,Medium
ST132,Bhopal,2025-10-15,Bike,1900-01-01 07:07:00,1900-01-01 08:59:00,69.5,695.0,UPI,112.0,15,October,2025,Wednesday,False,7,Morning,High
ST133,Mumbai,2025-10-15,Bike,1900-01-01 17:42:00,1900-01-01 20:19:00,44.1,441.0,Card,157.0,15,October,2025,Wednesday,False,17,Evening,Medium
ST134,Hyderabad,2025-10-15,Bike,1900-01-01 09:02:00,1900-01-01 11:57:00,35.8,358.0,Cash,175.0,15,October,2025,Wednesday,False,9,Morning,Low
ST135,Mumbai,2025-10-15,Truck,1900-01-01 15:46:00,1900-01-01 16:31:00,94.2,942.0,UPI,45.0,15,October,2025,Wednesday,False,15,Afternoon,High
ST136,Mumbai,2025-10-15,Bus,1900-01-01 18:03:00,1900-01-01 19:25:00,63.6,636.0,UPI,82.0,15,October,2025,Wednesday,False,18,Evening,Medium
ST137,Bhopal,2025-10-15,Bus,1900-01-01 15:00:00,1900-01-01 17:37:00,49.4,494.0,Cash,157.0,15,October,2025,Wednesday,False,15,Afternoon,Medium
ST138,Hyderabad,2025-10-15,Truck,1900-01-01 07:00:00,1900-01-01 08:55:00,28.7,287.0,UPI,115.0,15,October,2025,Wednesday,False,7,Morning,Low
ST139,Delhi,2025-10-15,Bus,1900-01-01 12:06:00,1900-01-01 13:44:00,87.8,878.0,Card,98.0,15,October,2025,Wednesday,False,12,Afternoon,High
ST140,Indore,2025-10-15,Truck,1900-01-01 08:24:00,1900-01-01 08:59:00,29.4,294.0,Cash,35.0,15,October,2025,Wednesday,False,8,Morning,Low
ST141,Jaipur,2025-10-15,Truck,1900-01-01 08:01:00,1900-01-01 09:41:00,72.5,725.0,Card,100.0,15,October,2025,Wednesday,False,8,Morning,High
ST142,Bhopal,2025-10-15,Bike,1900-01-01 15:04:00,1900-01-01 16:03:00,26.3,263.0,UPI,59.0,15,October,2025,Wednesday,False,15,Afternoon,Low
ST143,Hyderabad,2025-10-15,Truck,1900-01-01 17:54:00,1900-01-01 18:52:00,93.1,931.0,Card,58.0,15,October,2025,Wednesday,False,17,Evening,High
ST144,Bhopal,2025-10-15,Car,1900-01-01 06:50:00,1900-01-01 07:56:00,49.1,491.0,UPI,66.0,15,October,2025,Wednesday,False,6,Morning,Medium
ST145,Kolkata,2025-10-15,Bus,1900-01-01 11:02:00,1900-01-01 12:07:00,66.1,661.0,UPI,65.0,15,October,2025,Wednesday,False,11,Morning,Medium
ST146,Jaipur,2025-10-15,Bike,1900-01-01 20:17:00,1900-01-01 20:54:00,12.9,129.0,Cash,37.0,15,October,2025,Wednesday,False,20,Evening,Low
ST147,Mumbai,2025-10-15,Bus,1900-01-01 17:27:00,1900-01-01 20:19:00,26.3,263.0,Cash,172.0,15,October,2025,Wednesday,False,17,Evening,Low
ST148,Indore,2025-10-15,Bus,1900-01-01 06:32:00,1900-01-01 08:45:00,32.3,323.0,Card,133.0,15,October,2025,Wednesday,False,6,Morning,Low
ST149,Indore,2025-10-15,Car,1900-01-01 15:19:00,1900-01-01 17:20:00,31.4,314.0,Cash,121.0,15,October,2025,Wednesday,False,15,Afternoon,Low
ST150,Hyderabad,2025-10-15,Bus,1900-01-01 19:54:00,1900-01-01 21:26:00,29.9,299.0,Card,92.0,15,October,2025,Wednesday,False,19,Evening,Low
ST151,Indore,2025-10-15,Truck,1900-01-01 06:43:00,1900-01-01 07:55:00,56.6,566.0,Card,72.0,15,October,2025,Wednesday,False,6,Morning,Medium
ST152,Bhopal,2025-10-15,Bus,1900-01-01 19:06:00,1900-01-01 20:58:00,54.1,541.0,Card,112.0,15,October,2025,Wednesday,False,19,Evening,Medium
ST153,Chennai,2025-10-15,Bus,1900-01-01 06:51:00,1900-01-01 08:52:00,53.2,532.0,UPI,121.0,15,October,2025,Wednesday,False,6,Morning,Medium
ST154,Pune,2025-10-15,Bike,1900-01-01 15:51:00,1900-01-01 17:19:00,51.6,516.0,Cash,88.0,15,October,2025,Wednesday,False,15,Afternoon,Medium
ST155,Indore,2025-10-15,Car,1900-01-01 15:49:00,1900-01-01 18:27:00,11.3,113.0,Cash,158.0,15,October,2025,Wednesday,False,15,Afternoon,Low
ST156,Chennai,2025-10-15,Truck,1900-01-01 08:06:00,1900-01-01 08:47:00,71.5,715.0,Cash,41.0,15,October,2025,Wednesday,False,8,Morning,High
ST157,Delhi,2025-10-15,Car,1900-01-01 18:55:00,1900-01-01 20:34:00,31.4,314.0,Cash,99.0,15,October,2025,Wednesday,False,18,Evening,Low
ST158,Jaipur,2025-10-15,Bike,1900-01-01 16:18:00,1900-01-01 18:55:00,54.2,542.0,UPI,157.0,15,October,2025,Wednesday,False,16,Afternoon,Medium
