Station_ID,City,Date,Vehicle_Type,Charging_Start_Time,Charging_End_Time,Energy_Consumed_kWh,Cost_INR,Payment_Method,Session_Duration_Min,Day,Month,Year,Day_of_Week,Weekend,Hour,Time_Slot,Revenue_Category,Session_hours,Cost_per_kWh,Weekend_Label
ST018,Chennai,2025-10-15,Car,11:49:00,14:21:00,16.9,169.0,UPI,152.0,15,October,2025,Wednesday,False,11,Morning,Low,2.53,10.0,Weekday
ST019,Chennai,2025-10-15,Bus,08:15:00,10:58:00,40.8,408.0,Cash,163.0,15,October,2025,Wednesday,False,8,Morning,Medium,2.72,10.0,Weekday
ST020,Kolkata,2025-10-15,Car,12:56:00,13:26:00,67.9,679.0,Cash,30.0,15,October,2025,Wednesday,False,12,Afternoon,Medium,0.5,10.0,Weekday
ST021,Kolkata,2025-10-15,Bus,17:25:00,19:46:00,32.4,324.0,Cash,141.0,15,October,2025,Wednesday,False,17,Evening,Low,2.35,10.0,Weekday
ST022,Indore,2025-10-15,Bus,19:49:00,21:00:00,27.5,275.0,UPI,71.0,15,October,2025,Wednesday,False,19,Evening,Low,1.18,10.0,Weekday
ST023,Mumbai,2025-10-15,Truck,15:43:00,17:25:00,80.8,808.0,Card,102.0,15,October,2025,Wednesday,False,15,Afternoon,High,1.7,10.0,Weekday
ST024,Jaipur,2025-10-15,Bus,10:10:00,11:55:00,49.5,495.0,Card,105.0,15,October,2025,Wednesday,False,10,Morning,Medium,1.75,10.0,Weekday
ST025,Pune,2025-10-15,Bus,08:33:00,10:45:00,98.4,984.0,Card,132.0,15,October,2025,Wednesday,False,8,Morning,High,2.2,10.0,Weekday
ST026,Chennai,2025-10-15,Car,12:41:00,13:35:00,99.8,998.0,Card,54.0,15,October,2025,Wednesday,False,12,Afternoon,High,0.9,10.0,Weekday
ST027,Ahmedabad,2025-10-15,Car,06:10:00,08:27:00,76.9,769.0,Cash,137.0,15,October,2025,Wednesday,False,6,Morning,High,2.28,10.0,Weekday
ST028,Hyderabad,2025-10-15,Bike,19:17:00,22:11:00,89.0,890.0,UPI,174.0,15,October,2025,Wednesday,False,19,Evening,High,2.9,10.0,Weekday
ST029,Bhopal,2025-10-15,Bike,19:49:00,20:42:00,86.4,864.0,Cash,53.0,15,October,2025,Wednesday,False,19,Evening,High,0.88,10.0,Weekday
ST030,Delhi,2025-10-15,Bike,16:05:00,16:56:00,64.9,649.0,UPI,51.0,15,October,2025,Wednesday,False,16,Afternoon,Medium,0.85,10.0,Weekday
ST031,Delhi,2025-10-15,Truck,07:50:00,10:24:00,87.3,873.0,Cash,154.0,15,October,2025,Wednesday,False,7,Morning,High,2.57,10.0,Weekday
ST032,Ahmedabad,2025-10-15,Bike,11:43:00,13:27:00,43.3,433.0,Card,104.0,15,October,2025,Wednesday,False,11,Morning,Medium,1.73,10.0,Weekday
ST033,Ahmedabad,2025-10-15,Bike,08:04:00,10:35:00,23.8,238.0,Cash,151.0,15,October,2025,Wednesday,False,8,Morning,Low,2.52,10.0,Weekday
ST034,Kolkata,2025-10-15,Bike,18:40:00,21:34:00,21.9,219.0,UPI,174.0,15,October,2025,Wednesday,False,18,Evening,Low,2.9,10.0,Weekday
ST035,Kolkata,2025-10-15,Bus,07:17:00,09:56:00,47.9,479.0,Card,159.0,15,October,2025,Wednesday,False,7,Morning,Medium,2.65,10.0,Weekday
ST036,Jaipur,2025-10-15,Car,20:09:00,22:35:00,56.9,569.0,Cash,146.0,15,October,2025,Wednesday,False,20,Evening,Medium,2.43,10.0,Weekday
ST037,Chennai,2025-10-15,Bike,08:14:00,09:17:00,50.9,509.0,Card,63.0,15,October,2025,Wednesday,False,8,Morning,Medium,1.05,10.0,Weekday
ST038,Mumbai,2025-10-15,Bike,12:02:00,13:46:00,46.3,463.0,UPI,104.0,15,October,2025,Wednesday,False,12,Afternoon,Medium,1.73,10.0,Weekday
ST039,Mumbai,2025-10-15,Bike,08:14:00,08:49:00,14.9,149.0,Card,35.0,15,October,2025,Wednesday,False,8,Morning,Low,0.58,10.0,Weekday
ST040,Mumbai,2025-10-15,Bus,07:11:00,08:41:00,24.4,244.0,UPI,90.0,15,October,2025,Wednesday,False,7,Morning,Low,1.5,10.0,Weekday
ST041,Indore,2025-10-15,Bus,08:10:00,10:50:00,45.7,457.0,Cash,160.0,15,October,2025,Wednesday,False,8,Morning,Medium,2.67,10.0,Weekday
ST042,Hyderabad,2025-10-15,Car,15:33:00,18:04:00,14.0,140.0,Card,151.0,15,October,2025,Wednesday,False,15,Afternoon,Low,2.52,10.0,Weekday
ST043,Jaipur,2025-10-15,Bike,09:27:00,10:08:00,93.4,934.0,Card,41.0,15,October,2025,Wednesday,False,9,Morning,High,0.68,10.0,Weekday
ST044,Jaipur,2025-10-15,Truck,07:04:00,07:41:00,18.0,180.0,Card,37.0,15,October,2025,Wednesday,False,7,Morning,Low,0.62,10.0,Weekday
ST045,Ahmedabad,2025-10-15,Car,19:35:00,22:01:00,26.0,260.0,Card,146.0,15,October,2025,Wednesday,False,19,Evening,Low,2.43,10.0,Weekday
ST046,Delhi,2025-10-15,Bus,14:43:00,15:38:00,23.0,230.0,Card,55.0,15,October,2025,Wednesday,False,14,Afternoon,Low,0.92,10.0,Weekday
ST047,Pune,2025-10-15,Truck,14:14:00,16:08:00,92.4,924.0,Card,114.0,15,October,2025,Wednesday,False,14,Afternoon,High,1.9,10.0,Weekday
ST048,Indore,2025-10-15,Truck,17:05:00,18:59:00,55.3,553.0,Cash,114.0,15,October,2025,Wednesday,False,17,Evening,Medium,1.9,10.0,Weekday
ST049,Bhopal,2025-10-15,Truck,19:56:00,21:24:00,88.4,884.0,Cash,88.0,15,October,2025,Wednesday,False,19,Evening,High,1.47,10.0,Weekday
ST050,Kolkata,2025-10-15,Truck,18:52:00,19:23:00,76.2,762.0,UPI,31.0,15,October,2025,Wednesday,False,18,Evening,High,0.52,10.0,Weekday
ST051,Kolkata,2025-10-15,Bus,18:46:00,20:07:00,12.0,120.0,Card,81.0,15,October,2025,Wednesday,False,18,Evening,Low,1.35,10.0,Weekday
ST052,Hyderabad,2025-10-15,Truck,06:44:00,08:49:00,27.3,273.0,Cash,125.0,15,October,2025,Wednesday,False,6,Morning,Low,2.08,10.0,Weekday
ST053,Hyderabad,2025-10-15,Car,14:45:00,16:08:00,35.6,356.0,UPI,83.0,15,October,2025,Wednesday,False,14,Afternoon,Low,1.38,10.0,Weekday
ST054,Jaipur,2025-10-15,Car,15:07:00,16:26:00,8.3,83.0,Card,79.0,15,October,2025,Wednesday,False,15,Afternoon,Low,1.32,10.0,Weekday
ST055,Kolkata,2025-10-15,Truck,13:10:00,13:54:00,74.7,747.0,Cash,44.0,15,October,2025,Wednesday,False,13,Afternoon,High,0.73,10.0,Weekday
ST056,Bhopal,2025-10-15,Car,15:23:00,17:51:00,29.0,290.0,UPI,148.0,15,October,2025,Wednesday,False,15,Afternoon,Low,2.47,10.0,Weekday
ST057,Ahmedabad,2025-10-15,Car,18:21:00,18:57:00,77.4,774.0,Cash,36.0,15,October,2025,Wednesday,False,18,Evening,High,0.6,10.0,Weekday
ST058,Pune,2025-10-15,Bus,06:50:00,09:45:00,86.4,864.0,UPI,175.0,15,October,2025,Wednesday,False,6,Morning,High,2.92,10.0,Weekday
ST059,Bhopal,2025-10-15,Car,15:58:00,17:48:00,73.7,737.0,Card,110.0,15,October,2025,Wednesday,False,15,Afternoon,High,1.83,10.0,Weekday
ST060,Indore,2025-10-15,Bus,06:12:00,06:54:00,71.5,715.0,Cash,42.0,15,October,2025,Wednesday,False,6,Morning,High,0.7,10.0,Weekday
ST061,Pune,2025-10-15,Bike,08:03:00,10:11:00,34.1,341.0,Card,128.0,15,October,2025,Wednesday,False,8,Morning,Low,2.13,10.0,Weekday
ST062,Hyderabad,2025-10-15,Car,19:15:00,21:10:00,83.5,835.0,Card,115.0,15,October,2025,Wednesday,False,19,Evening,High,1.92,10.0,Weekday
ST063,Jaipur,2025-10-15,Car,11:09:00,13:49:00,70.4,704.0,Card,160.0,15,October,2025,Wednesday,False,11,Morning,High,2.67,10.0,Weekday
ST064,Chennai,2025-10-15,Truck,06:06:00,07:28:00,17.1,171.0,UPI,82.0,15,October,2025,Wednesday,False,6,Morning,Low,1.37,10.0,Weekday
ST065,Jaipur,2025-10-15,Bus,20:23:00,23:20:00,56.8,568.0,UPI,177.0,15,October,2025,Wednesday,False,20,Evening,Medium,2.95,10.0,Weekday
ST066,Hyderabad,2025-10-15,Bus,16:25:00,19:03:00,88.4,884.0,Card,158.0,15,October,2025,Wednesday,False,16,Afternoon,High,2.63,10.0,Weekday
ST067,Indore,2025-10-15,Car,11:24:00,13:14:00,40.9,409.0,Cash,110.0,15,October,2025,Wednesday,False,11,Morning,Medium,1.83,10.0,Weekday
ST068,Bhopal,2025-10-15,Car,13:07:00,15:45:00,59.4,594.0,UPI,158.0,15,October,2025,Wednesday,False,13,Afternoon,Medium,2.63,10.0,Weekday
ST069,Kolkata,2025-10-15,Truck,06:00:00,08:35:00,66.2,662.0,Cash,155.0,15,October,2025,Wednesday,False,6,Morning,Medium,2.58,10.0,Weekday
ST070,Bhopal,2025-10-15,Bike,16:32:00,18:28:00,53.2,532.0,Cash,116.0,15,October,2025,Wednesday,False,16,Afternoon,Medium,1.93,10.0,Weekday
ST071,Hyderabad,2025-10-15,Bike,12:25:00,14:24:00,73.5,735.0,Cash,119.0,15,October,2025,Wednesday,False,12,Afternoon,High,1.98,10.0,Weekday
ST072,Ahmedabad,2025-10-15,Bus,13:32:00,14:52:00,50.5,505.0,Cash,80.0,15,October,2025,Wednesday,False,13,Afternoon,Medium,1.33,10.0,Weekday
ST073,Delhi,2025-10-15,Car,16:54:00,18:22:00,42.5,425.0,Card,88.0,15,October,2025,Wednesday,False,16,Afternoon,Medium,1.47,10.0,Weekday
ST074,Jaipur,2025-10-15,Bus,11:26:00,13:22:00,56.3,563.0,Cash,116.0,15,October,2025,Wednesday,False,11,Morning,Medium,1.93,10.0,Weekday
ST075,Kolkata,2025-10-15,Bus,20:46:00,21:35:00,29.6,296.0,UPI,49.0,15,October,2025,Wednesday,False,20,Evening,Low,0.82,10.0,Weekday
ST076,Ahmedabad,2025-10-15,Bike,15:14:00,17:54:00,64.5,645.0,UPI,160.0,15,October,2025,Wednesday,False,15,Afternoon,Medium,2.67,10.0,Weekday
ST077,Mumbai,2025-10-15,Car,16:32:00,17:56:00,69.4,694.0,Card,84.0,15,October,2025,Wednesday,False,16,Afternoon,Medium,1.4,10.0,Weekday
ST078,Kolkata,2025-10-15,Truck,20:59:00,22:24:00,13.5,135.0,UPI,85.0,15,October,2025,Wednesday,False,20,Evening,Low,1.42,10.0,Weekday
ST079,Ahmedabad,2025-10-15,Car,17:44:00,19:41:00,43.8,438.0,Card,117.0,15,October,2025,Wednesday,False,17,Evening,Medium,1.95,10.0,Weekday
ST080,Mumbai,2025-10-15,Truck,11:40:00,12:48:00,53.8,538.0,Cash,68.0,15,October,2025,Wednesday,False,11,Morning,Medium,1.13,10.0,Weekday
ST081,Kolkata,2025-10-15,Car,18:11:00,19:23:00,78.0,780.0,Cash,72.0,15,October,2025,Wednesday,False,18,Evening,High,1.2,10.0,Weekday
ST082,Ahmedabad,2025-10-15,Car,07:40:00,10:12:00,11.0,110.0,Card,152.0,15,October,2025,Wednesday,False,7,Morning,Low,2.53,10.0,Weekday
ST083,Delhi,2025-10-15,Car,20:26:00,21:06:00,88.0,880.0,Card,40.0,15,October,2025,Wednesday,False,20,Evening,High,0.67,10.0,Weekday
ST084,Delhi,2025-10-15,Bike,08:58:00,10:31:00,74.4,744.0,Cash,93.0,15,October,2025,Wednesday,False,8,Morning,High,1.55,10.0,Weekday
ST085,Delhi,2025-10-15,Bus,08:55:00,11:25:00,68.5,685.0,UPI,150.0,15,October,2025,Wednesday,False,8,Morning,Medium,2.5,10.0,Weekday
ST086,Hyderabad,2025-10-15,Car,07:36:00,09:25:00,15.5,155.0,Cash,109.0,15,October,2025,Wednesday,False,7,Morning,Low,1.82,10.0,Weekday
ST087,Ahmedabad,2025-10-15,Car,13:23:00,14:22:00,94.0,940.0,Cash,59.0,15,October,2025,Wednesday,False,13,Afternoon,High,0.98,10.0,Weekday
ST088,Chennai,2025-10-15,Truck,13:34:00,15:17:00,99.3,993.0,UPI,103.0,15,October,2025,Wednesday,False,13,Afternoon,High,1.72,10.0,Weekday
ST089,Indore,2025-10-15,Truck,18:15:00,20:31:00,82.4,824.0,Card,136.0,15,October,2025,Wednesday,False,18,Evening,High,2.27,10.0,Weekday
ST090,Jaipur,2025-10-15,Car,10:30:00,12:48:00,45.4,454.0,Card,138.0,15,October,2025,Wednesday,False,10,Morning,Medium,2.3,10.0,Weekday
ST091,Ahmedabad,2025-10-15,Bus,18:59:00,21:19:00,48.7,487.0,UPI,140.0,15,October,2025,Wednesday,False,18,Evening,Medium,2.33,10.0,Weekday
ST092,Hyderabad,2025-10-15,Bike,13:13:00,14:22:00,17.3,173.0,Cash,69.0,15,October,2025,Wednesday,False,13,Afternoon,Low,1.15,10.0,Weekday
ST093,Jaipur,2025-10-15,Bus,16:31:00,19:15:00,93.4,934.0,Card,164.0,15,October,2025,Wednesday,False,16,Afternoon,High,2.73,10.0,Weekday
ST094,Mumbai,2025-10-15,Bike,12:39:00,13:36:00,38.0,380.0,Cash,57.0,15,October,2025,Wednesday,False,12,Afternoon,Medium,0.95,10.0,Weekday
ST095,Mumbai,2025-10-15,Truck,07:35:00,10:03:00,44.8,448.0,Card,148.0,15,October,2025,Wednesday,False,7,Morning,Medium,2.47,10.0,Weekday
ST096,Chennai,2025-10-15,Truck,13:33:00,14:36:00,26.6,266.0,Card,63.0,15,October,2025,Wednesday,False,13,Afternoon,Low,1.05,10.0,Weekday
ST097,Ahmedabad,2025-10-15,Bus,18:45:00,21:35:00,8.6,86.0,UPI,170.0,15,October,2025,Wednesday,False,18,Evening,Low,2.83,10.0,Weekday
ST098,Bhopal,2025-10-15,Bike,20:02:00,21:40:00,38.9,389.0,UPI,98.0,15,October,2025,Wednesday,False,20,Evening,Medium,1.63,10.0,Weekday
ST099,Bhopal,2025-10-15,Bike,11:57:00,14:08:00,68.9,689.0,UPI,131.0,15,October,2025,Wednesday,False,11,Morning,Medium,2.18,10.0,Weekday
ST100,Pune,2025-10-15,Truck,13:15:00,14:17:00,10.1,101.0,Card,62.0,15,October,2025,Wednesday,False,13,Afternoon,Low,1.03,10.0,Weekday
ST101,Pune,2025-10-15,Bus,10:42:00,12:40:00,46.4,464.0,UPI,118.0,15,October,2025,Wednesday,False,10,Morning,Medium,1.97,10.0,Weekday
ST102,Hyderabad,2025-10-15,Truck,19:32:00,21:57:00,59.7,597.0,Cash,145.0,15,October,2025,Wednesday,False,19,Evening,Medium,2.42,10.0,Weekday
ST103,Indore,2025-10-15,Bike,10:06:00,11:23:00,67.9,679.0,Cash,77.0,15,October,2025,Wednesday,False,10,Morning,Medium,1.28,10.0,Weekday
ST104,Mumbai,2025-10-15,Truck,19:38:00,22:17:00,96.1,961.0,Cash,159.0,15,October,2025,Wednesday,False,19,Evening,High,2.65,10.0,Weekday
ST105,Hyderabad,2025-10-15,Bike,17:26:00,19:23:00,3.2,32.0,UPI,117.0,15,October,2025,Wednesday,False,17,Evening,Low,1.95,10.0,Weekday
ST106,Hyderabad,2025-10-15,Bus,16:05:00,16:37:00,83.5,835.0,Card,32.0,15,October,2025,Wednesday,False,16,Afternoon,High,0.53,10.0,Weekday
ST107,Ahmedabad,2025-10-15,Truck,15:57:00,18:36:00,38.0,380.0,UPI,159.0,15,October,2025,Wednesday,False,15,Afternoon,Medium,2.65,10.0,Weekday
ST108,Ahmedabad,2025-10-15,Bike,10:47:00,13:33:00,42.6,426.0,Cash,166.0,15,October,2025,Wednesday,False,10,Morning,Medium,2.77,10.0,Weekday
ST109,Delhi,2025-10-15,Truck,18:45:00,21:01:00,74.3,743.0,Cash,136.0,15,October,2025,Wednesday,False,18,Evening,High,2.27,10.0,Weekday
ST110,Pune,2025-10-15,Car,14:19:00,15:36:00,38.3,383.0,UPI,77.0,15,October,2025,Wednesday,False,14,Afternoon,Medium,1.28,10.0,Weekday
ST111,Chennai,2025-10-15,Car,14:10:00,15:48:00,64.3,643.0,Cash,98.0,15,October,2025,Wednesday,False,14,Afternoon,Medium,1.63,10.0,Weekday
ST112,Ahmedabad,2025-10-15,Car,12:53:00,13:24:00,21.0,210.0,UPI,31.0,15,October,2025,Wednesday,False,12,Afternoon,Low,0.52,10.0,Weekday
ST113,Indore,2025-10-15,Truck,15:29:00,17:21:00,73.2,732.0,UPI,112.0,15,October,2025,Wednesday,False,15,Afternoon,High,1.87,10.0,Weekday
ST114,Bhopal,2025-10-15,Bus,18:52:00,20:47:00,19.6,196.0,Cash,115.0,15,October,2025,Wednesday,False,18,Evening,Low,1.92,10.0,Weekday
ST115,Bhopal,2025-10-15,Bike,06:59:00,09:09:00,24.1,241.0,Cash,130.0,15,October,2025,Wednesday,False,6,Morning,Low,2.17,10.0,Weekday
ST116,Kolkata,2025-10-15,Truck,11:35:00,14:19:00,29.8,298.0,Card,164.0,15,October,2025,Wednesday,False,11,Morning,Low,2.73,10.0,Weekday
ST117,Ahmedabad,2025-10-15,Bike,07:25:00,09:53:00,86.8,868.0,Card,148.0,15,October,2025,Wednesday,False,7,Morning,High,2.47,10.0,Weekday
ST118,Bhopal,2025-10-15,Truck,08:23:00,10:11:00,26.8,268.0,Card,108.0,15,October,2025,Wednesday,False,8,Morning,Low,1.8,10.0,Weekday
ST119,Delhi,2025-10-15,Bike,11:04:00,13:36:00,97.4,974.0,Card,152.0,15,October,2025,Wednesday,False,11,Morning,High,2.53,10.0,Weekday
ST120,Ahmedabad,2025-10-15,Bus,10:03:00,12:35:00,44.6,446.0,Cash,152.0,15,October,2025,Wednesday,False,10,Morning,Medium,2.53,10.0,Weekday
ST121,Delhi,2025-10-15,Truck,06:45:00,07:15:00,50.9,509.0,UPI,30.0,15,October,2025,Wednesday,False,6,Morning,Medium,0.5,10.0,Weekday
ST122,Ahmedabad,2025-10-15,Car,16:17:00,18:30:00,73.3,733.0,Cash,133.0,15,October,2025,Wednesday,False,16,Afternoon,High,2.22,10.0,Weekday
ST123,Pune,2025-10-15,Truck,10:25:00,13:11:00,67.0,670.0,Cash,166.0,15,October,2025,Wednesday,False,10,Morning,Medium,2.77,10.0,Weekday
ST124,Jaipur,2025-10-15,Truck,08:16:00,09:26:00,59.8,598.0,Cash,70.0,15,October,2025,Wednesday,False,8,Morning,Medium,1.17,10.0,Weekday
ST125,Delhi,2025-10-15,Truck,18:06:00,20:15:00,82.5,825.0,Card,129.0,15,October,2025,Wednesday,False,18,Evening,High,2.15,10.0,Weekday
ST126,Jaipur,2025-10-15,Bike,07:14:00,08:38:00,91.9,919.0,Card,84.0,15,October,2025,Wednesday,False,7,Morning,High,1.4,10.0,Weekday
ST127,Bhopal,2025-10-15,Truck,08:11:00,10:30:00,44.6,446.0,Card,139.0,15,October,2025,Wednesday,False,8,Morning,Medium,2.32,10.0,Weekday
ST128,Delhi,2025-10-15,Truck,11:47:00,14:24:00,49.5,495.0,Cash,157.0,15,October,2025,Wednesday,False,11,Morning,Medium,2.62,10.0,Weekday
ST129,Bhopal,2025-10-15,Bus,08:01:00,09:09:00,79.4,794.0,UPI,68.0,15,October,2025,Wednesday,False,8,Morning,High,1.13,10.0,Weekday
ST130,Delhi,2025-10-15,Truck,12:35:00,14:26:00,43.3,433.0,Cash,111.0,15,October,2025,Wednesday,False,12,Afternoon,Medium,1.85,10.0,Weekday
ST131,Mumbai,2025-10-15,Bus,11:30:00,12:49:00,43.8,438.0,UPI,79.0,15,October,2025,Wednesday,False,11,Morning,Medium,1.32,10.0,Weekday
ST132,Bhopal,2025-10-15,Bike,07:07:00,08:59:00,69.5,695.0,UPI,112.0,15,October,2025,Wednesday,False,7,Morning,High,1.87,10.0,Weekday
ST133,Mumbai,2025-10-15,Bike,17:42:00,20:19:00,44.1,441.0,Card,157.0,15,October,2025,Wednesday,False,17,Evening,Medium,2.62,10.0,Weekday
ST134,Hyderabad,2025-10-15,Bike,09:02:00,11:57:00,35.8,358.0,Cash,175.0,15,October,2025,Wednesday,False,9,Morning,Low,2.92,10.0,Weekday
ST135,Mumbai,2025-10-15,Truck,15:46:00,16:31:00,94.2,942.0,UPI,45.0,15,October,2025,Wednesday,False,15,Afternoon,High,0.75,10.0,Weekday
ST136,Mumbai,2025-10-15,Bus,18:03:00,19:25:00,63.6,636.0,UPI,82.0,15,October,2025,Wednesday,False,18,Evening,Medium,1.37,10.0,Weekday
ST137,Bhopal,2025-10-15,Bus,15:00:00,17:37:00,49.4,494.0,Cash,157.0,15,October,2025,Wednesday,False,15,Afternoon,Medium,2.62,10.0,Weekday
ST138,Hyderabad,2025-10-15,Truck,07:00:00,08:55:00,28.7,287.0,UPI,115.0,15,October,2025,Wednesday,False,7,Morning,Low,1.92,10.0,Weekday
ST139,Delhi,2025-10-15,Bus,12:06:00,13:44:00,87.8,878.0,Card,98.0,15,October,2025,Wednesday,False,12,Afternoon,High,1.63,10.0,Weekday
ST140,Indore,2025-10-15,Truck,08:24:00,08:59:00,29.4,294.0,Cash,35.0,15,October,2025,Wednesday,False,8,Morning,Low,0.58,10.0,Weekday
ST141,Jaipur,2025-10-15,Truck,08:01:00,09:41:00,72.5,725.0,Card,100.0,15,October,2025,Wednesday,False,8,Morning,High,1.67,10.0,Weekday
ST142,Bhopal,2025-10-15,Bike,15:04:00,16:03:00,26.3,263.0,UPI,59.0,15,October,2025,Wednesday,False,15,Afternoon,Low,0.98,10.0,Weekday
ST143,Hyderabad,2025-10-15,Truck,17:54:00,18:52:00,93.1,931.0,Card,58.0,15,October,2025,Wednesday,False,17,Evening,High,0.97,10.0,Weekday
ST144,Bhopal,2025-10-15,Car,06:50:00,07:56:00,49.1,491.0,UPI,66.0,15,October,2025,Wednesday,False,6,Morning,Medium,1.1,10.0,Weekday
ST145,Kolkata,2025-10-15,Bus,11:02:00,12:07:00,66.1,661.0,UPI,65.0,15,October,2025,Wednesday,False,11,Morning,Medium,1.08,10.0,Weekday
ST146,Jaipur,2025-10-15,Bike,20:17:00,20:54:00,12.9,129.0,Cash,37.0,15,October,2025,Wednesday,False,20,Evening,Low,0.62,10.0,Weekday
ST147,Mumbai,2025-10-15,Bus,17:27:00,20:19:00,26.3,263.0,Cash,172.0,15,October,2025,Wednesday,False,17,Evening,Low,2.87,10.0,Weekday
ST148,Indore,2025-10-15,Bus,06:32:00,08:45:00,32.3,323.0,Card,133.0,15,October,2025,Wednesday,False,6,Morning,Low,2.22,10.0,Weekday
ST149,Indore,2025-10-15,Car,15:19:00,17:20:00,31.4,314.0,Cash,121.0,15,October,2025,Wednesday,False,15,Afternoon,Low,2.02,10.0,Weekday
ST150,Hyderabad,2025-10-15,Bus,19:54:00,21:26:00,29.9,299.0,Card,92.0,15,October,2025,Wednesday,False,19,Evening,Low,1.53,10.0,Weekday
ST151,Indore,2025-10-15,Truck,06:43:00,07:55:00,56.6,566.0,Card,72.0,15,October,2025,Wednesday,False,6,Morning,Medium,1.2,10.0,Weekday
ST152,Bhopal,2025-10-15,Bus,19:06:00,20:58:00,54.1,541.0,Card,112.0,15,October,2025,Wednesday,False,19,Evening,Medium,1.87,10.0,Weekday
ST153,Chennai,2025-10-15,Bus,06:51:00,08:52:00,53.2,532.0,UPI,121.0,15,October,2025,Wednesday,False,6,Morning,Medium,2.02,10.0,Weekday
ST154,Pune,2025-10-15,Bike,15:51:00,17:19:00,51.6,516.0,Cash,88.0,15,October,2025,Wednesday,False,15,Afternoon,Medium,1.47,10.0,Weekday
ST155,Indore,2025-10-15,Car,15:49:00,18:27:00,11.3,113.0,Cash,158.0,15,October,2025,Wednesday,False,15,Afternoon,Low,2.63,10.0,Weekday
ST156,Chennai,2025-10-15,Truck,08:06:00,08:47:00,71.5,715.0,Cash,41.0,15,October,2025,Wednesday,False,8,Morning,High,0.68,10.0,Weekday
ST157,Delhi,2025-10-15,Car,18:55:00,20:34:00,31.4,314.0,Cash,99.0,15,October,2025,Wednesday,False,18,Evening,Low,1.65,10.0,Weekday
ST158,Jaipur,2025-10-15,Bike,16:18:00,18:55:00,54.2,542.0,UPI,157.0,15,October,2025,Wednesday,False,16,Afternoon,Medium,2.62,10.0,Weekday
ST159,Indore,2025-10-15,Truck,10:08:00,12:46:00,26.1,261.0,UPI,158.0,15,October,2025,Wednesday,False,10,Morning,Low,2.63,10.0,Weekday
